DATE,FIPS,DS_TEMP_VARIATION_PREVIOUS_DAY,DS_DAILY_CLOUDCOVER,DS_WEATHER_ICON,DS_DAILY_LOW_TEMP,DS_DAILY_HIGH_TEMP,DS_DAILY_TOTAL_RAINFALL,STORE_BRAND_ID,TOTAL_TRAFFIC,DINEIN_TRAFFIC,DRIVETHRU_TRAFFIC
11/21/20,39035,-11.04,0.73,partly-cloudy-day,35.19,50.73,0.00022,1-837,57,45,0
11/21/20,39035,-11.04,0.73,partly-cloudy-day,35.19,50.73,0.00022,7-Jan,44,33,0
11/21/20,39035,-11.04,0.73,partly-cloudy-day,35.19,50.73,0.00022,1-1404,124,70,0
11/21/20,39035,-11.04,0.73,partly-cloudy-day,35.19,50.73,0.00022,Jan-51,77,39,0
11/21/20,39035,-11.04,0.73,partly-cloudy-day,35.19,50.73,0.00022,1-765,103,32,0
11/21/20,39035,-11.04,0.73,partly-cloudy-day,35.19,50.73,0.00022,1-1224,125,82,0
11/21/20,39035,-11.04,0.73,partly-cloudy-day,35.19,50.73,0.00022,2-1211,233,0,230
11/21/20,39035,-11.04,0.73,partly-cloudy-day,35.19,50.73,0.00022,Feb-87,97,4,0
11/21/20,39035,-11.04,0.73,partly-cloudy-day,35.19,50.73,0.00022,6-Feb,306,0,298
11/21/20,39035,-11.04,0.73,partly-cloudy-day,35.19,50.73,0.00022,Jan-95,165,95,0
11/21/20,39035,-11.04,0.73,partly-cloudy-day,35.19,50.73,0.00022,2-974,379,3,365
11/21/20,39035,-11.04,0.73,partly-cloudy-day,35.19,50.73,0.00022,6-Feb,202,0,196
11/21/20,39035,-11.04,0.73,partly-cloudy-day,35.19,50.73,0.00022,11-Feb,340,0,329
11/21/20,39035,-11.04,0.73,partly-cloudy-day,35.19,50.73,0.00022,4-Feb,325,0,311
11/21/20,39035,-11.04,0.73,partly-cloudy-day,35.19,50.73,0.00022,2-1510,369,2,358
11/21/20,39035,-11.04,0.73,partly-cloudy-day,35.19,50.73,0.00022,2-991,378,0,373
11/21/20,39035,-11.04,0.73,partly-cloudy-day,35.19,50.73,0.00022,10-Feb,424,3,403
11/21/20,39035,-11.04,0.73,partly-cloudy-day,35.19,50.73,0.00022,Feb-77,292,0,281
11/21/20,39035,-11.04,0.73,partly-cloudy-day,35.19,50.73,0.00022,Feb-38,289,0,280
11/21/20,39035,-11.04,0.73,partly-cloudy-day,35.19,50.73,0.00022,2-201,321,0,310
11/21/20,39035,-11.04,0.73,partly-cloudy-day,35.19,50.73,0.00022,2-1399,387,0,369
11/21/20,39035,-11.04,0.73,partly-cloudy-day,35.19,50.73,0.00022,2-1300,588,38,476
11/21/20,39035,-11.04,0.73,partly-cloudy-day,35.19,50.73,0.00022,2-1833,428,1,395
11/21/20,39035,-11.04,0.73,partly-cloudy-day,35.19,50.73,0.00022,2-530,417,2,365
11/22/20,39035,-7.04,0.95,rain,34.71,43.69,0.05712,3-Jan,35,25,0
11/22/20,39035,-7.04,0.95,rain,34.71,43.69,0.05712,1-837,26,13,0
11/22/20,39035,-7.04,0.95,rain,34.71,43.69,0.05712,1-852,52,0,40
11/22/20,39035,-7.04,0.95,rain,34.71,43.69,0.05712,1-1404,82,44,0
11/22/20,39035,-7.04,0.95,rain,34.71,43.69,0.05712,Jan-51,56,20,0
11/22/20,39035,-7.04,0.95,rain,34.71,43.69,0.05712,1-765,102,18,0
11/22/20,39035,-7.04,0.95,rain,34.71,43.69,0.05712,1-1224,80,57,0
11/22/20,39035,-7.04,0.95,rain,34.71,43.69,0.05712,2-1211,151,0,149
11/22/20,39035,-7.04,0.95,rain,34.71,43.69,0.05712,Feb-87,79,5,0
11/22/20,39035,-7.04,0.95,rain,34.71,43.69,0.05712,6-Feb,210,0,207
11/22/20,39035,-7.04,0.95,rain,34.71,43.69,0.05712,Jan-95,132,75,0
11/22/20,39035,-7.04,0.95,rain,34.71,43.69,0.05712,2-974,274,2,262
11/22/20,39035,-7.04,0.95,rain,34.71,43.69,0.05712,6-Feb,119,0,108
11/22/20,39035,-7.04,0.95,rain,34.71,43.69,0.05712,11-Feb,281,0,266
11/22/20,39035,-7.04,0.95,rain,34.71,43.69,0.05712,4-Feb,259,0,246
11/22/20,39035,-7.04,0.95,rain,34.71,43.69,0.05712,2-1510,305,1,284
11/22/20,39035,-7.04,0.95,rain,34.71,43.69,0.05712,2-991,293,0,285
11/22/20,39035,-7.04,0.95,rain,34.71,43.69,0.05712,10-Feb,277,0,259
11/22/20,39035,-7.04,0.95,rain,34.71,43.69,0.05712,Feb-77,206,0,195
11/22/20,39035,-7.04,0.95,rain,34.71,43.69,0.05712,Feb-38,249,0,240
11/22/20,39035,-7.04,0.95,rain,34.71,43.69,0.05712,2-201,257,0,247
11/22/20,39035,-7.04,0.95,rain,34.71,43.69,0.05712,2-1399,326,0,304
11/22/20,39035,-7.04,0.95,rain,34.71,43.69,0.05712,2-1300,420,22,364
11/22/20,39035,-7.04,0.95,rain,34.71,43.69,0.05712,2-1833,391,2,349
11/22/20,39035,-7.04,0.95,rain,34.71,43.69,0.05712,2-530,345,0,299
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,1-852,68,0,49
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,3-Jan,33,21,0
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,Jan-85,40,33,0
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,1-765,85,24,0
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,Jan-37,59,11,23
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,1-1537,17,12,0
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,1-837,62,40,0
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,7-Jan,51,29,0
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,1-1404,96,55,0
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,Jan-51,62,36,0
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,1-1224,102,67,0
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,2-1211,197,0,190
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,Feb-87,52,1,0
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,6-Feb,229,0,223
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,Jan-95,114,59,0
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,2-974,260,0,258
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,6-Feb,146,0,144
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,11-Feb,282,0,267
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,4-Feb,274,0,260
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,2-1510,279,1,268
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,2-991,241,0,220
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,10-Feb,216,0,216
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,Feb-77,228,0,219
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,Feb-38,203,0,192
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,2-201,248,0,245
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,2-1399,251,0,237
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,2-1300,446,23,391
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,2-1833,325,1,303
11/27/20,39035,-6.61,0.91,cloudy,42.58,47.33,0.00034,2-530,311,2,270
11/21/20,6001,0.06,0.19,clear-day,45.12,57.72,0.00003,5-Jan,72,51,0
11/21/20,6001,0.06,0.19,clear-day,45.12,57.72,0.00003,3-1101075,263,11,223
11/21/20,6001,0.06,0.19,clear-day,45.12,57.72,0.00003,3-1101062,121,5,94
11/21/20,6001,0.06,0.19,clear-day,45.12,57.72,0.00003,3-1101450,146,4,118
11/21/20,6001,0.06,0.19,clear-day,45.12,57.72,0.00003,3-1101064,264,14,240
11/21/20,6001,0.06,0.19,clear-day,45.12,57.72,0.00003,3-1101081,383,1,326
11/21/20,6001,0.06,0.19,clear-day,45.12,57.72,0.00003,3-1101729,175,3,149
11/21/20,6001,0.06,0.19,clear-day,45.12,57.72,0.00003,3-1101080,376,16,292
11/21/20,6001,0.06,0.19,clear-day,45.12,57.72,0.00003,3-1101063,169,20,149
11/21/20,6001,0.06,0.19,clear-day,45.12,57.72,0.00003,3-1101061,295,3,263
11/22/20,6001,4.69,0.17,clear-day,45.61,62.41,0.00004,5-Jan,82,54,0
11/22/20,6001,4.69,0.17,clear-day,45.61,62.41,0.00004,3-1101075,193,4,168
11/22/20,6001,4.69,0.17,clear-day,45.61,62.41,0.00004,3-1101062,114,7,97
11/22/20,6001,4.69,0.17,clear-day,45.61,62.41,0.00004,3-1101450,146,6,116
11/22/20,6001,4.69,0.17,clear-day,45.61,62.41,0.00004,3-1101064,238,13,206
11/22/20,6001,4.69,0.17,clear-day,45.61,62.41,0.00004,3-1101081,311,2,270
11/22/20,6001,4.69,0.17,clear-day,45.61,62.41,0.00004,3-1101729,153,5,133
11/22/20,6001,4.69,0.17,clear-day,45.61,62.41,0.00004,3-1101080,332,45,262
11/22/20,6001,4.69,0.17,clear-day,45.61,62.41,0.00004,3-1101063,138,17,116
11/22/20,6001,4.69,0.17,clear-day,45.61,62.41,0.00004,3-1101061,250,5,218
11/27/20,6001,2.62,0.01,clear-day,43.99,58.56,0.00006,5-Jan,63,49,0
11/27/20,6001,2.62,0.01,clear-day,43.99,58.56,0.00006,3-1101075,158,6,124
11/27/20,6001,2.62,0.01,clear-day,43.99,58.56,0.00006,3-1101062,98,4,83
11/27/20,6001,2.62,0.01,clear-day,43.99,58.56,0.00006,3-1101450,116,5,90
11/27/20,6001,2.62,0.01,clear-day,43.99,58.56,0.00006,3-1101064,195,10,169
11/27/20,6001,2.62,0.01,clear-day,43.99,58.56,0.00006,3-1101081,295,0,247
11/27/20,6001,2.62,0.01,clear-day,43.99,58.56,0.00006,3-1101729,135,12,113
11/27/20,6001,2.62,0.01,clear-day,43.99,58.56,0.00006,3-1101080,262,25,201
11/27/20,6001,2.62,0.01,clear-day,43.99,58.56,0.00006,3-1101063,128,11,115
11/27/20,6001,2.62,0.01,clear-day,43.99,58.56,0.00006,3-1101061,195,1,168
11/21/20,53061,3.99,0.51,rain,34.72,49.47,0.00108,Jan-45,78,44,0
11/21/20,53061,3.99,0.51,rain,34.72,49.47,0.00108,1-950,81,51,0
11/21/20,53061,3.99,0.51,rain,34.72,49.47,0.00108,Jan-57,161,78,0
11/21/20,53061,3.99,0.51,rain,34.72,49.47,0.00108,1-1895,150,99,0
11/21/20,53061,3.99,0.51,rain,34.72,49.47,0.00108,1-794,155,100,0
11/21/20,53061,3.99,0.51,rain,34.72,49.47,0.00108,Jan-70,141,67,0
11/21/20,53061,3.99,0.51,rain,34.72,49.47,0.00108,Jan-94,135,80,0
11/21/20,53061,3.99,0.51,rain,34.72,49.47,0.00108,3-1102424,340,1,325
11/21/20,53061,3.99,0.51,rain,34.72,49.47,0.00108,3-1100464,413,13,359
11/22/20,53061,-2.74,0.79,rain,36.67,46.73,0.00336,1-1895,111,63,0
11/22/20,53061,-2.74,0.79,rain,36.67,46.73,0.00336,1-794,143,91,0
11/22/20,53061,-2.74,0.79,rain,36.67,46.73,0.00336,Jan-70,103,63,0
11/22/20,53061,-2.74,0.79,rain,36.67,46.73,0.00336,Jan-57,124,56,0
11/22/20,53061,-2.74,0.79,rain,36.67,46.73,0.00336,Jan-94,102,54,0
11/22/20,53061,-2.74,0.79,rain,36.67,46.73,0.00336,3-1102424,246,0,239
11/22/20,53061,-2.74,0.79,rain,36.67,46.73,0.00336,3-1100464,372,23,322
11/27/20,53061,4.76,0.6,rain,35.29,49.12,0.00149,Jan-45,74,37,0
11/27/20,53061,4.76,0.6,rain,35.29,49.12,0.00149,1-950,91,59,0
11/27/20,53061,4.76,0.6,rain,35.29,49.12,0.00149,Jan-57,100,55,0
11/27/20,53061,4.76,0.6,rain,35.29,49.12,0.00149,1-1895,99,55,0
11/27/20,53061,4.76,0.6,rain,35.29,49.12,0.00149,1-794,139,78,0
11/27/20,53061,4.76,0.6,rain,35.29,49.12,0.00149,8-Jan,51,28,0
11/27/20,53061,4.76,0.6,rain,35.29,49.12,0.00149,Jan-70,97,54,0
11/27/20,53061,4.76,0.6,rain,35.29,49.12,0.00149,Jan-94,104,51,0
11/27/20,53061,4.76,0.6,rain,35.29,49.12,0.00149,3-1102424,280,5,260
11/27/20,53061,4.76,0.6,rain,35.29,49.12,0.00149,3-1100464,461,21,387
11/21/20,6029,1.89,0.28,clear-day,41.46,74.42,0.00001,25-Feb,47,1,45
11/21/20,6029,1.89,0.28,clear-day,41.46,74.42,0.00001,Feb-33,228,0,219
11/21/20,6029,1.89,0.28,clear-day,41.46,74.42,0.00001,3-1100503,265,15,230
11/21/20,6029,1.89,0.28,clear-day,41.46,74.42,0.00001,3-1100302,353,10,325
11/21/20,6029,1.89,0.28,clear-day,41.46,74.42,0.00001,3-1100298,239,7,225
11/21/20,6029,1.89,0.28,clear-day,41.46,74.42,0.00001,3-1101044,357,53,303
11/21/20,6029,1.89,0.28,clear-day,41.46,74.42,0.00001,3-1100176,353,26,245
11/21/20,6029,1.89,0.28,clear-day,41.46,74.42,0.00001,3-1100276,175,9,165
11/21/20,6029,1.89,0.28,clear-day,41.46,74.42,0.00001,3-1100187,167,3,151
11/21/20,6029,1.89,0.28,clear-day,41.46,74.42,0.00001,3-1100224,232,4,214
11/21/20,6029,1.89,0.28,clear-day,41.46,74.42,0.00001,3-1100611,408,17,377
11/21/20,6029,1.89,0.28,clear-day,41.46,74.42,0.00001,3-1100471,383,16,360
11/21/20,6029,1.89,0.28,clear-day,41.46,74.42,0.00001,3-1100295,539,22,503
11/21/20,6029,1.89,0.28,clear-day,41.46,74.42,0.00001,3-1100339,459,31,418
11/21/20,6029,1.89,0.28,clear-day,41.46,74.42,0.00001,3-1100480,303,0,216
11/21/20,6029,1.89,0.28,clear-day,41.46,74.42,0.00001,3-1100490,256,18,208
11/21/20,6029,1.89,0.28,clear-day,41.46,74.42,0.00001,3-1100225,332,16,214
11/21/20,6029,1.89,0.28,clear-day,41.46,74.42,0.00001,3-1100697,241,4,230
11/21/20,6029,1.89,0.28,clear-day,41.46,74.42,0.00001,3-1100217,302,19,274
11/21/20,6029,1.89,0.28,clear-day,41.46,74.42,0.00001,3-1100463,168,10,152
11/21/20,6029,1.89,0.28,clear-day,41.46,74.42,0.00001,3-1100419,247,4,243
11/22/20,6029,1.06,0.14,clear-day,43.05,75.48,0.00001,25-Feb,85,8,74
11/22/20,6029,1.06,0.14,clear-day,43.05,75.48,0.00001,Feb-33,217,16,184
11/22/20,6029,1.06,0.14,clear-day,43.05,75.48,0.00001,3-1100503,216,27,175
11/22/20,6029,1.06,0.14,clear-day,43.05,75.48,0.00001,3-1100302,318,9,296
11/22/20,6029,1.06,0.14,clear-day,43.05,75.48,0.00001,3-1100298,189,7,173
11/22/20,6029,1.06,0.14,clear-day,43.05,75.48,0.00001,3-1101044,314,45,269
11/22/20,6029,1.06,0.14,clear-day,43.05,75.48,0.00001,3-1100176,381,13,287
11/22/20,6029,1.06,0.14,clear-day,43.05,75.48,0.00001,3-1100276,127,4,119
11/22/20,6029,1.06,0.14,clear-day,43.05,75.48,0.00001,3-1100187,135,4,123
11/22/20,6029,1.06,0.14,clear-day,43.05,75.48,0.00001,3-1100224,166,1,154
11/22/20,6029,1.06,0.14,clear-day,43.05,75.48,0.00001,3-1100611,398,9,374
11/22/20,6029,1.06,0.14,clear-day,43.05,75.48,0.00001,3-1100471,323,18,297
11/22/20,6029,1.06,0.14,clear-day,43.05,75.48,0.00001,3-1100295,543,17,517
11/22/20,6029,1.06,0.14,clear-day,43.05,75.48,0.00001,3-1100339,399,9,374
11/22/20,6029,1.06,0.14,clear-day,43.05,75.48,0.00001,3-1100480,297,3,222
11/22/20,6029,1.06,0.14,clear-day,43.05,75.48,0.00001,3-1100490,209,16,162
11/22/20,6029,1.06,0.14,clear-day,43.05,75.48,0.00001,3-1100225,308,13,202
11/22/20,6029,1.06,0.14,clear-day,43.05,75.48,0.00001,3-1100697,252,11,232
11/22/20,6029,1.06,0.14,clear-day,43.05,75.48,0.00001,3-1100217,251,9,230
11/22/20,6029,1.06,0.14,clear-day,43.05,75.48,0.00001,3-1100463,143,8,122
11/22/20,6029,1.06,0.14,clear-day,43.05,75.48,0.00001,3-1100419,179,6,172
11/27/20,6029,4.08,0,clear-day,33.16,63.13,0.00002,25-Feb,94,5,80
11/27/20,6029,4.08,0,clear-day,33.16,63.13,0.00002,Feb-33,205,21,180
11/27/20,6029,4.08,0,clear-day,33.16,63.13,0.00002,3-1100503,184,16,153
11/27/20,6029,4.08,0,clear-day,33.16,63.13,0.00002,3-1100302,277,9,255
11/27/20,6029,4.08,0,clear-day,33.16,63.13,0.00002,3-1100298,194,6,179
11/27/20,6029,4.08,0,clear-day,33.16,63.13,0.00002,3-1101044,274,13,223
11/27/20,6029,4.08,0,clear-day,33.16,63.13,0.00002,3-1100176,321,4,235
11/27/20,6029,4.08,0,clear-day,33.16,63.13,0.00002,3-1100276,128,8,118
11/27/20,6029,4.08,0,clear-day,33.16,63.13,0.00002,3-1100187,126,5,116
11/27/20,6029,4.08,0,clear-day,33.16,63.13,0.00002,3-1100224,162,2,144
11/27/20,6029,4.08,0,clear-day,33.16,63.13,0.00002,3-1100611,230,1,213
11/27/20,6029,4.08,0,clear-day,33.16,63.13,0.00002,3-1100471,310,19,287
11/27/20,6029,4.08,0,clear-day,33.16,63.13,0.00002,3-1100295,413,6,394
11/27/20,6029,4.08,0,clear-day,33.16,63.13,0.00002,3-1100339,365,17,336
11/27/20,6029,4.08,0,clear-day,33.16,63.13,0.00002,3-1100480,394,2,276
11/27/20,6029,4.08,0,clear-day,33.16,63.13,0.00002,3-1100490,209,15,156
11/27/20,6029,4.08,0,clear-day,33.16,63.13,0.00002,3-1100225,237,12,153
11/27/20,6029,4.08,0,clear-day,33.16,63.13,0.00002,3-1100697,204,8,185
